[2024-02-25 17:20:52,304: INFO: main: My first custom log]
[2024-02-25 18:04:08,880: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:04:08,882: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:04:08,885: INFO: common: created directory at: artifacts]
[2024-02-25 18:04:08,886: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-25 18:04:08,887: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-25 18:04:27,632: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-25 18:05:22,662: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:05:22,671: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:05:22,671: INFO: common: created directory at: artifacts]
[2024-02-25 18:05:22,671: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-25 18:05:22,671: INFO: 986331348: Downloading data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-25 18:11:26,931: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-25 18:20:45,686: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-25 18:20:45,686: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:20:45,686: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:20:45,686: INFO: common: created directory at: artifacts]
[2024-02-25 18:20:45,686: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-25 18:20:45,686: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-25 18:26:03,460: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-25 18:26:17,150: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-25 18:39:04,225: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:39:04,234: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:39:04,236: INFO: common: created directory at: artifacts]
[2024-02-25 18:39:54,314: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:39:54,315: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:39:54,317: INFO: common: created directory at: artifacts]
[2024-02-25 18:41:31,994: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:41:31,996: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:41:31,998: INFO: common: created directory at: artifacts]
[2024-02-25 18:42:37,922: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:42:37,925: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:42:37,926: INFO: common: created directory at: artifacts]
[2024-02-25 18:46:01,533: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-25 18:46:01,533: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-25 18:46:01,536: INFO: common: created directory at: artifacts]
[2024-02-26 15:28:47,998: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:28:48,004: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:28:48,005: INFO: common: created directory at: artifacts]
[2024-02-26 15:28:55,346: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:28:55,349: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:28:55,351: INFO: common: created directory at: artifacts]
[2024-02-26 15:32:30,621: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:32:30,624: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:32:30,625: INFO: common: created directory at: artifacts]
[2024-02-26 15:32:40,559: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:32:40,562: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:32:40,563: INFO: common: created directory at: artifacts]
[2024-02-26 15:35:00,088: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:35:00,092: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:35:00,093: INFO: common: created directory at: artifacts]
[2024-02-26 15:44:32,332: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:44:32,340: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:44:32,343: INFO: common: created directory at: artifacts]
[2024-02-26 15:46:23,932: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:46:23,932: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:46:23,937: INFO: common: created directory at: artifacts]
[2024-02-26 15:49:37,919: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:49:37,921: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:49:37,923: INFO: common: created directory at: artifacts]
[2024-02-26 15:51:05,647: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:51:05,649: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:51:05,650: INFO: common: created directory at: artifacts]
[2024-02-26 15:51:05,652: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-26 15:51:05,977: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-26 15:51:19,572: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 15:51:19,575: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 15:51:19,576: INFO: common: created directory at: artifacts]
[2024-02-26 15:51:19,578: INFO: common: created directory at: artifacts/prepare_base_model]
